State	Filed week ended	Initial Claims	Reflecting Week Ended	Continued Claims	Covered Employment	Insured Unemployment Rate
Alabama	01/04/2020	4,578	12/28/2019	18,523	1,923,741	0.96
Alabama	01/11/2020	3,629	01/04/2020	21,143	1,923,741	1.10
Alabama	01/18/2020	2,483	01/11/2020	17,402	1,923,741	0.90
Alabama	01/25/2020	2,129	01/18/2020	18,390	1,923,741	0.96
Alabama	02/01/2020	2,170	01/25/2020	17,284	1,923,741	0.90
Alabama	02/08/2020	2,176	02/01/2020	16,745	1,923,741	0.87
Alabama	02/15/2020	1,981	02/08/2020	16,571	1,923,741	0.86
Alabama	02/22/2020	1,735	02/15/2020	16,059	1,923,741	0.83
Alabama	02/29/2020	1,575	02/22/2020	14,721	1,923,741	0.77
Alabama	03/07/2020	1,663	02/29/2020	13,657	1,923,741	0.71
Alabama	03/14/2020	1,819	03/07/2020	13,070	1,923,741	0.68
Alabama	03/21/2020	10,892	03/14/2020	12,487	1,923,741	0.65
Alabama	03/28/2020	80,984	03/21/2020	18,083	1,923,741	0.94
Alabama	04/04/2020	106,739	03/28/2020	52,176	1,923,741	2.71
Alabama	04/11/2020	77,515	04/04/2020	95,325	1,929,897	4.94
Alabama	04/18/2020	66,432	04/11/2020	144,327	1,929,897	7.48
Alabama	04/25/2020	74,966	04/18/2020	173,855	1,929,897	9.01
Alabama	05/02/2020	28,985	04/25/2020	214,684	1,929,897	11.12
Alabama	05/09/2020	26,666	05/02/2020	216,856	1,929,897	11.24
Alabama	05/16/2020	25,150	05/09/2020	203,677	1,929,897	10.55
Alabama	05/23/2020	27,919	05/16/2020	190,205	1,929,897	9.86
Alabama	05/30/2020	21,335	05/23/2020	183,565	1,929,897	9.51
Alabama	06/06/2020	19,949	05/30/2020	180,245	1,929,897	9.34
Alabama	06/13/2020	18,367	06/06/2020	163,982	1,929,897	8.50
Alabama	06/20/2020	18,671	06/13/2020	150,002	1,929,897	7.77
Alabama	06/27/2020	18,338	06/20/2020	141,450	1,929,897	7.33
Alabama	07/04/2020	19,056	06/27/2020	138,272	1,929,897	7.16
Alabama	07/11/2020	20,563	07/04/2020	117,388	1,935,262	6.07
Alaska	01/04/2020	981	12/28/2019	10,177	306,493	3.32
Alaska	01/11/2020	1,371	01/04/2020	9,310	307,329	3.03
Alaska	01/18/2020	1,181	01/11/2020	9,984	307,329	3.25
Alaska	01/25/2020	1,003	01/18/2020	9,496	307,329	3.09
Alaska	02/01/2020	1,122	01/25/2020	9,579	307,329	3.12
Alaska	02/08/2020	980	02/01/2020	9,161	307,329	2.98
Alaska	02/15/2020	915	02/08/2020	9,343	307,329	3.04
Alaska	02/22/2020	773	02/15/2020	8,864	307,329	2.88
Alaska	02/29/2020	874	02/22/2020	8,938	307,329	2.91
Alaska	03/07/2020	815	02/29/2020	8,266	307,329	2.69
Alaska	03/14/2020	1,120	03/07/2020	8,522	307,329	2.77
Alaska	03/21/2020	7,847	03/14/2020	8,512	307,329	2.77
Alaska	03/28/2020	13,774	03/21/2020	11,173	307,329	3.64
Alaska	04/04/2020	14,590	03/28/2020	19,845	307,329	6.46
Alaska	04/11/2020	12,007	04/04/2020	35,365	308,137	11.48
Alaska	04/18/2020	12,201	04/11/2020	48,096	308,137	15.61
Alaska	04/25/2020	10,313	04/18/2020	52,022	308,137	16.88
Alaska	05/02/2020	8,718	04/25/2020	49,893	308,137	16.19
Alaska	05/09/2020	7,807	05/02/2020	50,791	308,137	16.48
Alaska	05/16/2020	7,741	05/09/2020	50,049	308,137	16.24
Alaska	05/23/2020	8,152	05/16/2020	48,000	308,137	15.58
Alaska	05/30/2020	7,452	05/23/2020	47,344	308,137	15.36
Alaska	06/06/2020	7,081	05/30/2020	47,123	308,137	15.29
Alaska	06/13/2020	6,797	06/06/2020	45,792	308,137	14.86
Alaska	06/20/2020	6,757	06/13/2020	44,380	308,137	14.40
Alaska	06/27/2020	6,467	06/20/2020	43,208	308,137	14.02
Alaska	07/04/2020	6,124	06/27/2020	42,110	308,137	13.67
Alaska	07/11/2020	9,572	07/04/2020	43,225	308,691	14.00
Arkansas	01/04/2020	2,576	12/28/2019	15,323	1,193,713	1.28
Arkansas	01/11/2020	2,493	01/04/2020	15,536	1,195,622	1.30
Arkansas	01/18/2020	1,729	01/11/2020	13,229	1,195,622	1.11
Arkansas	01/25/2020	1,683	01/18/2020	12,331	1,195,622	1.03
Arkansas	02/01/2020	1,837	01/25/2020	13,210	1,195,622	1.10
Arkansas	02/08/2020	1,724	02/01/2020	12,964	1,195,622	1.08
Arkansas	02/15/2020	1,602	02/08/2020	12,979	1,195,622	1.09
Arkansas	02/22/2020	1,055	02/15/2020	12,546	1,195,622	1.05
Arkansas	02/29/2020	1,418	02/22/2020	12,244	1,195,622	1.02
Arkansas	03/07/2020	1,843	02/29/2020	11,618	1,195,622	0.97
Arkansas	03/14/2020	1,382	03/07/2020	11,514	1,195,622	0.96
Arkansas	03/21/2020	9,275	03/14/2020	10,988	1,195,622	0.92
Arkansas	03/28/2020	27,756	03/21/2020	16,148	1,195,622	1.35
Arkansas	04/04/2020	62,086	03/28/2020	36,499	1,195,622	3.05
Arkansas	04/11/2020	35,629	04/04/2020	66,511	1,196,468	5.56
Arkansas	04/18/2020	25,404	04/11/2020	91,278	1,196,468	7.63
Arkansas	04/25/2020	17,671	04/18/2020	109,337	1,196,468	9.14
Arkansas	05/02/2020	13,448	04/25/2020	119,332	1,196,468	9.97
Arkansas	05/09/2020	13,152	05/02/2020	122,522	1,196,468	10.24
Arkansas	05/16/2020	11,427	05/09/2020	122,408	1,196,468	10.23
Arkansas	05/23/2020	10,825	05/16/2020	120,043	1,196,468	10.03
Arkansas	05/30/2020	8,481	05/23/2020	115,365	1,196,468	9.64
Arkansas	06/06/2020	9,663	05/30/2020	115,482	1,196,468	9.65
Arkansas	06/13/2020	9,381	06/06/2020	113,623	1,196,468	9.50
Arkansas	06/20/2020	9,669	06/13/2020	112,189	1,196,468	9.38
Arkansas	06/27/2020	10,395	06/20/2020	108,691	1,196,468	9.08
Arkansas	07/04/2020	10,832	06/27/2020	104,692	1,196,468	8.75
Arkansas	07/11/2020	14,155	07/04/2020	99,083	1,197,760	8.27
Arizona	01/04/2020	3,132	12/28/2019	17,991	2,864,180	0.63
Arizona	01/11/2020	4,654	01/04/2020	18,259	2,864,180	0.64
Arizona	01/18/2020	4,152	01/11/2020	18,421	2,864,180	0.64
Arizona	01/25/2020	3,475	01/18/2020	18,401	2,864,180	0.64
Arizona	02/01/2020	3,807	01/25/2020	18,854	2,864,180	0.66
Arizona	02/08/2020	3,636	02/01/2020	18,461	2,864,180	0.64
Arizona	02/15/2020	3,538	02/08/2020	18,516	2,864,180	0.65
Arizona	02/22/2020	3,151	02/15/2020	18,217	2,864,180	0.64
Arizona	02/29/2020	3,086	02/22/2020	18,137	2,864,180	0.63
Arizona	03/07/2020	3,357	02/29/2020	17,593	2,864,180	0.61
Arizona	03/14/2020	3,844	03/07/2020	17,595	2,864,180	0.61
Arizona	03/21/2020	29,348	03/14/2020	18,108	2,864,180	0.63
Arizona	03/28/2020	88,940	03/21/2020	26,387	2,864,180	0.92
Arizona	04/04/2020	132,428	03/28/2020	62,597	2,864,180	2.19
Arizona	04/11/2020	98,531	04/04/2020	120,592	2,864,180	4.21
Arizona	04/18/2020	72,457	04/11/2020	170,262	2,885,408	5.90
